query,case,system,run,seconds,rows,min_votes,note
q1_shortest_path,q1_distanza_4,postgresql,7,1.849576,1,1000,
q1_shortest_path,q1_distanza_4,neo4j,7,0.002165,1,1000,
q1_shortest_path,q1_distanza_4,postgresql,8,1.843521,1,1000,
q1_shortest_path,q1_distanza_4,neo4j,8,0.001059,1,1000,
q1_shortest_path,q1_distanza_4,postgresql,9,1.869779,1,1000,
q1_shortest_path,q1_distanza_4,neo4j,9,0.002378,1,1000,
q1_shortest_path,q1_distanza_4,postgresql,10,1.868368,1,1000,
q1_shortest_path,q1_distanza_4,neo4j,10,0.001410,1,1000,
q2_most_connected,q2_most_connected,postgresql,1,2.604334,10,1000,
q2_most_connected,q2_most_connected,neo4j,1,0.694426,10,1000,
q2_most_connected,q2_most_connected,postgresql,2,2.578877,10,1000,
q2_most_connected,q2_most_connected,neo4j,2,0.714874,10,1000,
q2_most_connected,q2_most_connected,postgresql,3,2.604447,10,1000,
q2_most_connected,q2_most_connected,neo4j,3,0.715014,10,1000,
q2_most_connected,q2_most_connected,postgresql,4,2.584225,10,1000,
q2_most_connected,q2_most_connected,neo4j,4,0.697048,10,1000,
q2_most_connected,q2_most_connected,postgresql,5,2.569508,10,1000,
q2_most_connected,q2_most_connected,neo4j,5,0.681120,10,1000,
q2_most_connected,q2_most_connected,postgresql,6,2.604777,10,1000,
q2_most_connected,q2_most_connected,neo4j,6,0.686986,10,1000,
q2_most_connected,q2_most_connected,postgresql,7,2.725719,10,1000,
q2_most_connected,q2_most_connected,neo4j,7,0.749127,10,1000,
q2_most_connected,q2_most_connected,postgresql,8,2.903514,10,1000,
q2_most_connected,q2_most_connected,neo4j,8,0.725034,10,1000,
q2_most_connected,q2_most_connected,postgresql,9,2.720078,10,1000,
q2_most_connected,q2_most_connected,neo4j,9,0.900630,10,1000,
q2_most_connected,q2_most_connected,postgresql,10,2.627472,10,1000,
q2_most_connected,q2_most_connected,neo4j,10,0.739242,10,1000,
q3_genre_by_decade,q3_genre_by_decade,postgresql,1,0.010436,10,1000,
q3_genre_by_decade,q3_genre_by_decade,neo4j,1,0.023998,10,1000,
q3_genre_by_decade,q3_genre_by_decade,postgresql,2,0.010663,10,1000,
q3_genre_by_decade,q3_genre_by_decade,neo4j,2,0.022818,10,1000,
q3_genre_by_decade,q3_genre_by_decade,postgresql,3,0.009907,10,1000,
q3_genre_by_decade,q3_genre_by_decade,neo4j,3,0.022500,10,1000,
q3_genre_by_decade,q3_genre_by_decade,postgresql,4,0.010710,10,1000,
q3_genre_by_decade,q3_genre_by_decade,neo4j,4,0.021411,10,1000,
q3_genre_by_decade,q3_genre_by_decade,postgresql,5,0.009992,10,1000,
q3_genre_by_decade,q3_genre_by_decade,neo4j,5,0.022100,10,1000,
q3_genre_by_decade,q3_genre_by_decade,postgresql,6,0.010598,10,1000,
q3_genre_by_decade,q3_genre_by_decade,neo4j,6,0.023254,10,1000,
q3_genre_by_decade,q3_genre_by_decade,postgresql,7,0.009928,10,1000,
q3_genre_by_decade,q3_genre_by_decade,neo4j,7,0.019093,10,1000,
q3_genre_by_decade,q3_genre_by_decade,postgresql,8,0.010496,10,1000,
q3_genre_by_decade,q3_genre_by_decade,neo4j,8,0.022515,10,1000,
q3_genre_by_decade,q3_genre_by_decade,postgresql,9,0.009960,10,1000,
q3_genre_by_decade,q3_genre_by_decade,neo4j,9,0.023181,10,1000,
q3_genre_by_decade,q3_genre_by_decade,postgresql,10,0.010525,10,1000,
q3_genre_by_decade,q3_genre_by_decade,neo4j,10,0.021873,10,1000,
q4_recommendations,q4_recommendations,postgresql,1,0.001795,10,1000,
q4_recommendations,q4_recommendations,neo4j,1,0.002047,10,1000,
q4_recommendations,q4_recommendations,postgresql,2,0.001800,10,1000,
q4_recommendations,q4_recommendations,neo4j,2,0.002018,10,1000,
q4_recommendations,q4_recommendations,postgresql,3,0.001669,10,1000,
q4_recommendations,q4_recommendations,neo4j,3,0.001634,10,1000,
q4_recommendations,q4_recommendations,postgresql,4,0.001884,10,1000,
q4_recommendations,q4_recommendations,neo4j,4,0.001395,10,1000,
q4_recommendations,q4_recommendations,postgresql,5,0.001679,10,1000,
q4_recommendations,q4_recommendations,neo4j,5,0.001329,10,1000,
q4_recommendations,q4_recommendations,postgresql,6,0.001758,10,1000,
q4_recommendations,q4_recommendations,neo4j,6,0.001677,10,1000,
q4_recommendations,q4_recommendations,postgresql,7,0.001623,10,1000,
q4_recommendations,q4_recommendations,neo4j,7,0.001864,10,1000,
q4_recommendations,q4_recommendations,postgresql,8,0.001740,10,1000,
q4_recommendations,q4_recommendations,neo4j,8,0.001678,10,1000,
q4_recommendations,q4_recommendations,postgresql,9,0.013780,10,1000,
q4_recommendations,q4_recommendations,neo4j,9,0.008766,10,1000,
q4_recommendations,q4_recommendations,postgresql,10,0.002851,10,1000,
q4_recommendations,q4_recommendations,neo4j,10,0.004766,10,1000,
q1_shortest_path,q1_distanza_1,postgresql,1,0.010374,1,100,
q1_shortest_path,q1_distanza_1,neo4j,1,0.001242,1,100,
q1_shortest_path,q1_distanza_1,postgresql,2,0.010032,1,100,
q1_shortest_path,q1_distanza_1,neo4j,2,0.000887,1,100,
